content,score,thumbsUpCount,cleaned_content,sentiment_label,word_count,review_date
"Serakah, tapi lengkap",5,0,serakah tapi lengkap,positive,3,
bagus sekali aplikasi ini,5,0,bagus sekali aplikasi ini,negative,4,
"ini spotify kebelet haji ya? perasaan dulu ga gini. skip lagu premium, pilih lagu premium, apa apa premium, kalo kaya gini mending balikin ke versi lama. udahlah premiumnya mahal, iklan podcast nya banyak, klo kaya gini aku jadi ga mood buat dengerin lagu. klo. udah itu aja, makasih.",3,125,ini spotify kebelet haji ya perasaan dulu tidak gini skip lagu premium pilih lagu premium apa apa premium kalo kaya gini mending balikin ke versi lama udahlah premiumnya mahal iklan podcast nya banyak klo kaya gini aku jadi tidak mood buat dengerin lagu klo udah itu saja makasih,positive,48,
enak fi dengar,5,0,enak fi dengar,negative,3,
bagusss enak didenger sama lagu nya banyak,5,0,bagusss enak didenger sama lagu nya banyak,negative,7,
lagu fav ku adalah avangar seven flod,5,0,lagu fav ku adalah avangar seven flod,negative,7,
ok sip mantap,5,0,ok sip mantap,negative,3,
i like it just that,4,0,i like it just that,negative,5,
magig throught,1,0,magig throught,positive,2,
"suka bgtt sama aplikasi ini soalnya bisa dengerin lagu apapun contoh nya Drip-Baby monster, Like Jennie dan Masi banyak lagii",5,0,suka bgtt sama aplikasi ini soalnya bisa dengerin lagu apapun contoh nya dripbaby monster like jennie dan masi banyak lagii,negative,20,
kalo di hapus bisa hilang suaranya,4,0,kalo di hapus bisa hilang suaranya,negative,6,
"hello ak ska dngn Spotify,,bsa dngar msik ok,mnttp,,",5,0,hello ak ska dngn spotifybsa dngar msik okmnttp,negative,8,
sangat puas dengan lagunya,5,0,sangat puas dengan lagunya,negative,4,
lagu ini sangat bagus,4,0,lagu ini sangat bagus,negative,4,
karna spotify itu lagunya sangat asik dan bagus keren,5,0,karna spotify itu lagunya sangat asik dan bagus keren,negative,9,
saya kira jika sudah membeli langganan terus saya download lagunya itu seperti membeli lisensi ternyata tidak,1,0,saya kira jika sudah membeli langganan terus saya download lagunya itu seperti membeli lisensi ternyata tidak,positive,16,
Spotify pelit amat dah masa suruh premium cuman buat ganti ulang musik yang udah di masukin favorit!,2,0,spotify pelit amat sudah masa suruh premium cuman buat ganti ulang musik yang udah di masukin favorit,positive,17,
"Bagus,, cuma banyak iklan nya aja",5,0,bagus cuma banyak iklan nya saja,positive,6,
enak banget buat tembak langit,5,0,enak banget buat tembak langit,negative,5,
bagus dan bisa mendengar lagu tanpa iklan dan banyak berbagai lagu yang bisa didengar,5,0,bagus dan bisa mendengar lagu tanpa iklan dan banyak berbagai lagu yang bisa didengar,negative,14,
"kecewa,!!!kenapa harus pake wifi klo muter lagu,klo pake paket biasa GK bisa muter lagu",3,7,kecewakenapa harus pake wifi klo muter laguklo pake paket biasa gk bisa muter lagu,positive,14,
banyak lagu yg bagus,5,0,banyak lagu yang bagus,negative,4,
makin update makin dipaksa premium...duh duh,1,0,semakin update semakin dipaksa premiumduh duh,positive,6,
apk ga guna layar item semua mending ga usah pake,1,0,apk tidak guna layar item semua mending tidak usah pake,positive,10,
banyak lagu yang seru untuk di dengar sistem hebat,5,0,banyak lagu yang seru untuk di dengar sistem hebat,negative,9,
"jelek, kalo sudah lama harus di suruh bayar huuuu",1,0,jelek kalo sudah lama harus di suruh bayar huuuu,positive,9,
aneh beli premium student aja ribet harus foto dokumen mana sekolahnya ga lengkap lagi,1,0,aneh beli premium student saja ribet harus foto dokumen mana sekolahnya tidak lengkap lagi,positive,14,
apa apa harus premium padahal apk lain banyak yang gratis,2,0,apa apa harus premium padahal apk lain banyak yang gratis,positive,10,
Harus pake internet setiap denger in lagu jadi males 😄,4,0,harus pake internet setiap denger in lagu jadi males,positive,9,
"To the Spotify developers, I really hope you provide an auto-translate feature for singer names or song titles that are not in English, such as singer names or song titles.songs in Chinese, as well as Japanese so that at least users know the name of the singer and the title of the song if it is changed to English. please I hope you guys consider this input.",4,2598,to the spotify developers i really hope you provide an autotranslate feature for singer names or song titles that are not in english such as singer names or song titlessongs in chinese as well as japanese so that at least users know the name of the singer and the title of the song if it is changed to english please i hope you guys consider this input,negative,67,
Celeng emang banyak iklan suruh ke premium . Pengen yang free aplikasi ini sudah pakai Kouta,1,0,celeng emang banyak iklan suruh ke premium pengen yang free aplikasi ini sudah pakai kouta,positive,15,
"Aplikasi yang paling bagus banget kita bisa mencari lagu indonesia,lagu barat dan bodcast.",5,0,aplikasi yang paling bagus banget kita bisa mencari lagu indonesialagu barat dan bodcast,negative,13,
memuaskann banget mendengar lagu nyaa,5,0,memuaskann banget mendengar lagu nyaa,negative,5,
bgs banget,5,0,bgs banget,positive,2,
"kenapa ya pas mau denger lagu, lagu nya mati sendiri gitu??",1,1,kenapa ya pas mau denger lagu lagu nya mati sendiri gitu,positive,11,
"god job, good enywhere enjoy your music🤩",5,0,god job good enywhere enjoy your music,negative,7,
bagusss saya suka,5,0,bagusss saya suka,negative,3,
aku bisa mendengarkan lagu dengan tenang saat beraktifitas😊,5,0,aku bisa mendengarkan lagu dengan tenang saat beraktifitas,negative,8,
"Paket komplit, kualitas mantap",5,0,paket komplit kualitas mantap,negative,4,
aplikasi ini bagussss banget 🤩🤩🤩,5,0,aplikasi ini bagussss banget,negative,4,
mantap jiwa sesuai dengan kesukaan ku my musik my laive en my love makasih semua nya,5,0,mantap jiwa sesuai dengan kesukaan ku my musik my laive en my love makasih semua nya,negative,16,
Lagu-lagunya selalu up date dan lagu lama juga masih enak di dengar,5,1,lagulagunya selalu up date dan lagu lama juga masih enak di dengar,negative,12,
music top,5,0,music top,negative,2,
"bagus bro,,manthap",5,0,bagus bromanthap,negative,2,
kok spotify saya banyak lagu dihilangkan dari playlist juga tiba tiba hilang ga ada penyanyi dan lagunya tolong di perbaiki lagu lagu memo ingin di dengar lagi malah di hilangkan,3,0,kok spotify saya banyak lagu dihilangkan dari playlist juga tiba tiba hilang tidak ada penyanyi dan lagunya tolong di perbaiki lagu lagu memo ingin di dengar lagi malah di hilangkan,positive,30,
Sporti good musik,5,0,sporti good musik,negative,3,
aplikasi nya mantaap..,5,0,aplikasi nya mantaap,negative,3,
MANTUL,5,0,mantul,positive,1,
ini aplikasinya bagus,5,0,ini aplikasinya bagus,negative,3,
Terima kasih Sportify music. memudahkan mendengar musik,5,0,terima kasih sportify music memudahkan mendengar musik,negative,7,
selalu bintang 5!!! meskifun egk premium :c,5,0,selalu bintang meskifun egk premium c,negative,6,
bisa dengerin lagu kalo lagi tidur,5,0,bisa dengerin lagu kalo lagi tidur,negative,6,
"hallllloooo,bagus bgttt apk nya tapi syg pas nginstal lama bgtt bett tapi gpp klo dimatiin masih bisa dengar , suaranya ttp tinggi dan dari sya terima kasih sekian dari cerita saya by",4,1,hallllloooobagus bgttt apk nya tapi syg pas nginstal lama bgtt bett tapi gpp klo dimatiin masih bisa dengar suaranya ttp tinggi dan dari sya terima kasih sekian dari cerita saya by,negative,31,
"lengkap, mudah suara optimal",5,0,lengkap mudah suara optimal,negative,4,
bagus sih tapi suka banyak iklan nya,1,0,bagus sih tapi suka banyak iklan nya,positive,7,
"Tambah pelit setelah di update ke versi yg terbaru, Shuffle di Playlist udh gak bisa, harus bayar kl gak lagunya bakal random gak peduli itu lagu dari playlist atau gak, batasan muter lagu jadi tambah menipis dulu sblm update bisa seharian (10+ lagu lah kira²) kl dngr lagu sekarang cuma bisa putar 6-7 lagu perhari. Trs iklan biasanya dpt 3 kali 30 detik njir...(y gpp lah iklan) tapi masalah batasan putar lagu plis tambahin, jgn kedikitan cuma bisa denger 5-7 lagu doang per hari.",1,0,tambah pelit setelah di update ke versi yang terbaru shuffle di playlist sudah tidak bisa harus bayar kl tidak lagunya bakal random tidak peduli itu lagu dari playlist atau tidak batasan muter lagu jadi tambah menipis dulu sblm update bisa seharian lagu lah kira kl dngr lagu sekarang cuma bisa putar lagu perhari terus iklan biasanya dpt kali detik njiry gpp lah iklan tapi masalah batasan putar lagu plis tambahin jgn kedikitan cuma bisa denger lagu doang per hari,positive,79,
eror kah apk ni? gabisa pke data pilih lagu malah lagu lain karna pemberitahuan prem,2,0,eror kah apk ni gabisa pke data pilih lagu malah lagu lain karna pemberitahuan prem,positive,15,
sura musiknya pass mantap,5,0,sura musiknya pass mantap,negative,4,
THEE BESTT PKONYA APKK INII,5,0,thee bestt pkonya apkk inii,negative,5,
mulai ngawur muter lagi diluar playlist,4,0,mulai ngawur muter lagi diluar playlist,positive,6,
yow keren,5,0,yow keren,negative,2,
"Gila juga ni apk lama-lama, sekarang milih lagu aja dibatasin udah gitu dikit banget lagi. Orang download ni apk aja udah untung, harus bgt maksain semuanya harus premium biar bisa raup keuntungan lebih banyak. Kapitalis maruk",1,0,gila juga ni apk lamalama sekarang milih lagu saja dibatasin udah gitu dikit banget lagi orang download ni apk saja udah untung harus banget maksain semuanya harus premium biar bisa raup keuntungan lebih banyak kapitalis maruk,positive,36,
"ngapain lu terus terusan ngasih lagu yg lu saranin? 😮‍💨 ngapain gw bikin playlist kalau lu kasih lagu yg g ada di playlist terus terusan tanpa jeda. gw user gratis, gw juga ngerti kali konsep dari shuffel pintar, cuman g keterusan berturut turut sampe 10 lagu lebih juga dong. playlist gw isinya udah sampe ratusan lagu btw, g harus lu spam lagu rekomendasi atau algoritma lu yang sampah itu 🤣 gini amat kebelet pelanggan 😌",1,2,ngapain lu terus terusan ngasih lagu yang lu saranin ngapain gw bikin playlist kalau lu kasih lagu yang g ada di playlist terus terusan tanpa jeda gw user gratis gw juga ngerti kali konsep dari shuffel pintar cuman g keterusan berturut turut sampe lagu lebih juga dong playlist gw isinya udah sampe ratusan lagu btw g harus lu spam lagu rekomendasi atau algoritma lu yang sampah itu gini amat kebelet pelanggan,positive,71,
kenapa paket PREMIUM yang 1 minggu di hilangkan..... terimakasih,5,0,kenapa paket premium yang minggu di hilangkan terimakasih,negative,8,
"semoga yang ciptain Spotify masuk surga, karnaa ni aplikasi udah terkenal bangettt buat galau seneng atau pun mau tidurr wajib ada aplikasi ini semua jenis lagi ada disini semua gayss",5,0,semoga yang ciptain spotify masuk surga karnaa ni aplikasi udah terkenal bangettt buat galau seneng atau pun mau tidurr wajib ada aplikasi ini semua jenis lagi ada disini semua gayss,negative,30,
bagus enak nyaman emang paling enak kalo lgi main game atau dll👍👍👍👍👌👌👌👌👌,5,0,bagus enak nyaman emang paling enak kalo lgi main game atau dll,negative,12,
belum nyoba siieh tapii aku kasih bintang 5 ajaa siapa tau bagus kann😁,5,0,belum nyoba siieh tapii aku kasih bintang ajaa siapa tau bagus kann,positive,12,
sekarang menjengkelkan...,1,0,sekarang menjengkelkan,positive,2,
keren banget buat gema bisa Lo,5,0,keren banget buat gema bisa lo,negative,6,
Saya puas dengan aplikasi ini,5,0,saya puas dengan aplikasi ini,negative,5,
ku mohon bisa sambil offlen,5,0,ku mohon bisa sambil offlen,negative,5,
"music nya enak"" bgt wothit buat mood kalian, kalo lgi badmood atau lgi happy cocok sih mnrut ku music ny jga lengkap.",5,0,music nya enak banget wothit buat mood kalian kalo lgi badmood atau lgi happy cocok sih mnrut ku music ny jga lengkap,negative,22,
kenapa semuanya harus premium? buat saja aplikasi ini berbayar,2,0,kenapa semuanya harus premium buat saja aplikasi ini berbayar,positive,9,
sangat keren tolong di update lagu lagunya,5,0,sangat keren tolong di update lagu lagunya,negative,7,
lagu yang enak,5,0,lagu yang enak,negative,3,
suka sama musik,5,0,suka sama musik,negative,3,
mantap sangat menghibur,5,0,mantap sangat menghibur,negative,3,
biaya langganan tidak sesuai yang tertera,1,0,biaya langganan tidak sesuai yang tertera,positive,6,
nggak tahan kalo udah stel lagu i'm mister lover men,5,0,tidak tahan kalo udah stel lagu im mister lover men,positive,10,
"aplikasi nya sekarang dah ngotak sekalian aja kalo dowload harus premium,dulu kalo mau mutar lagu tinggal pilih/pencet aja masa sekarang pengen memilih lagu yang dipilih harus premium",1,2,aplikasi nya sekarang sudah ngotak sekalian saja kalo dowload harus premiumdulu kalo mau mutar lagu tinggal pilihpencet saja masa sekarang pengen memilih lagu yang dipilih harus premium,positive,27,
gua suka,5,0,gua suka,negative,2,
Premium,2,0,premium,positive,1,
mdh dlm musik.,4,0,mdh dlm musik,negative,3,
"aplikasinya cukup bagus apalagi kalau pengen dengerin ceramah aplikasinya pas banget. pilihan yang kita cari begitu banyak. saya sangat suka, terimakasih Spotify.",5,2,aplikasinya cukup bagus apalagi kalau pengen dengerin ceramah aplikasinya pas banget pilihan yang kita cari begitu banyak saya sangat suka terimakasih spotify,negative,22,
bagus.,4,0,bagus,negative,1,
tetap free,5,0,tetap free,negative,2,
top..,5,0,top,negative,1,
suka bangetbdengar lagu,5,0,suka bangetbdengar lagu,negative,3,
sangat membantu mengisi hari-hariku,5,0,sangat membantu mengisi harihariku,negative,4,
muantappp laa,5,0,muantappp laa,negative,2,
lagu nya bagus bagus aprof dehh pokoknyaa👍😍,5,0,lagu nya bagus bagus aprof dehh pokoknyaa,negative,7,
bagus sihh apknya. cuman lama sekali instalnya. gak sesuai kapasitasnya. maklum saya bongkar pasang apk.,4,1,bagus sihh apknya cuman lama sekali instalnya tidak sesuai kapasitasnya maklum saya bongkar pasang apk,positive,15,
gak ribet bagus banget apl ini,5,0,tidak ribet bagus banget apl ini,negative,6,
pertahanan,5,0,pertahanan,negative,1,
baik bisa untuk mendengar bacaan para masyaikh,5,0,baik bisa untuk mendengar bacaan para masyaikh,negative,7,
bagus banget👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻,5,0,bagus banget,negative,2,
lumayan untuk kalian yang suka lagu,3,0,lumayan untuk kalian yang suka lagu,negative,6,
good apk musik,5,0,good apk musik,negative,3,
"awal² oke aja tapi sekarang kalo denger musik suka mati sendiri ,mohon diperbaiki",5,0,awal oke saja tapi sekarang kalo denger musik suka mati sendiri mohon diperbaiki,positive,13,
kalau aku gabut aku pakai spotify aja,5,0,kalau aku gabut aku pakai spotify saja,negative,7,
"Dulu tiap iklannya 1 , sekarang tiap iklan ada 2 iklan...jika pake headset suara nya juga payah, kalah jauh sama tiktok yg suaranya mirip konser aslinya",1,1,dulu tiap iklannya sekarang tiap iklan ada iklanjika pake headset suara nya juga payah kalah jauh sama tiktok yang suaranya mirip konser aslinya,positive,23,
Aplikasi bagus banget aku suka banget,5,0,aplikasi bagus banget aku suka banget,negative,6,
menyenangkan sekali,5,0,menyenangkan sekali,negative,2,
liriknya hilang,1,0,liriknya hilang,positive,2,
bagus tapi saya gak pakai premium,5,0,bagus tapi saya tidak pakai premium,positive,6,
hallo spotify aku senang kehadiran kamu karna musiknya bagusss bagussssss,5,0,hallo spotify aku senang kehadiran kamu karna musiknya bagusss bagussssss,negative,10,
"halo tolong benerin bug nya ya. kalau lagi buka playlist, terus hp kekunci atau pindah aplikasi, pas buka spotify lagi malah ke tampilan playlist paling atas lagi. ini ganggu banget soalnya kalo lagunya ratusan, saya harus scroll lagi ke bawah, mengganggu banget",4,243,halo tolong benerin bug nya ya kalau lagi buka playlist terus hp kekunci atau pindah aplikasi pas buka spotify lagi malah ke tampilan playlist paling atas lagi ini ganggu banget soalnya kalo lagunya ratusan saya harus scroll lagi ke bawah mengganggu banget,positive,42,
"hampir semua fitur nya premium,maklum si kaum gratisan tapi jangan terlalu banyak yang premium itu sama aja kayak maksa orang buat jadi premium",1,0,hampir semua fitur nya premiummaklum si kaum gratisan tapi jangan terlalu banyak yang premium itu sama saja kayak maksa orang buat jadi premium,positive,23,
pelit.,2,0,pelit,positive,1,
bagus banget anjir😆😆,5,0,bagus banget anjir,negative,3,
Lebih mudah utk memilih lagu favorit yg disukai.,5,0,lebih mudah utk memilih lagu favorit yang disukai,negative,8,
lagu nya enak dan lagu favorit saya no surprise dari radio hed,5,0,lagu nya enak dan lagu favorit saya no surprise dari radio hed,negative,12,
cocok buat nya lagi kesepian atau galau,5,0,cocok buat nya lagi kesepian atau galau,negative,7,
yang bikin iklan katanya tanpa ikllan,3,0,yang bikin iklan katanya tanpa ikllan,positive,6,
tanpa iklan🥰🫶,5,0,tanpa iklan,negative,2,
kok sekarang gabisa putar lagu sesuai keinginan kita sih kalau mau putar lagu harus beli spotify premium. tapi lagu nya tetep bagus kok,4,3,kok sekarang gabisa putar lagu sesuai keinginan kita sih kalau mau putar lagu harus beli spotify premium tapi lagu nya tetep bagus kok,negative,23,
"makasih udah nemenin galau-galau ku dan ke gabutanku, ya walaupun kalo lagunya habis malah iklan, tapi makasih ya spotify.",5,0,makasih udah nemenin galaugalau ku dan ke gabutanku ya walaupun kalo lagunya habis malah iklan tapi makasih ya spotify,negative,19,
bagus enak dengerin nya tapi banyak iklan kasih dikit aja iklannya biar enak dengerin lagu itu aja Terima kasih 🙏🏻🙏🏻🙏🏻,5,8,bagus enak dengerin nya tapi banyak iklan kasih dikit saja iklannya biar enak dengerin lagu itu saja terima kasih,negative,19,
karena senang,5,0,karena senang,negative,2,
"Saya user langganan fitur premiumnya, tapi udah mulai kecewa sih sama Spotify yang sekarang.",1,1,saya user langganan fitur premiumnya tapi udah mulai kecewa sih sama spotify yang sekarang,positive,14,
Aplikasi yang nyaman untuk mendengarkan musik,5,0,aplikasi yang nyaman untuk mendengarkan musik,negative,6,
lumayanlah walau ada iklannya bisa menghibur saat lagi galau..,5,0,lumayanlah walau ada iklannya bisa menghibur saat lagi galau,negative,9,
"sebenarnya bagus cuma, kalo mau putar tanpa buka aplikasi (aplikasinya ditutup) malah mati. padahal kadang bisa nyala walaupun aplikasinya ditutup",5,4,sebenarnya bagus cuma kalo mau putar tanpa buka aplikasi aplikasinya ditutup malah mati padahal kadang bisa nyala walaupun aplikasinya ditutup,positive,20,
"serba bagus, iklannya ga banyak juga pokoknya mantap deh",5,0,serba bagus iklannya tidak banyak juga pokoknya mantap deh,negative,9,
"iklan nya makin sering, kesempatan milih lagu di kurangi, Spotify sekarang maksain banget ya pengguna nya beli premium.",2,0,iklan nya semakin sering kesempatan milih lagu di kurangi spotify sekarang maksain banget ya pengguna nya beli premium,positive,18,
setelah dipikir-pikir lagi ternyata sama ajaa malah lebih parah.. udah bnayak iklannya. mau ganti lagi aja di jatah jatah. apk koplak,1,0,setelah dipikirpikir lagi ternyata sama ajaa malah lebih parah udah bnayak iklannya mau ganti lagi saja di jatah jatah apk koplak,positive,21,
setuu bangettt,5,0,setuu bangettt,negative,2,
"sangat bagus,suara jernih",5,0,sangat bagussuara jernih,negative,3,
bagus bet gilaaaaa,5,0,bagus bet gilaaaaa,negative,3,
Selalu menghibur dg lagi lagi yg bisa dipilih..,5,0,selalu menghibur dg lagi lagi yang bisa dipilih,negative,8,
bagus dan lngkp lagunya,5,0,bagus dan lngkp lagunya,negative,4,
bagus buat sad,5,0,bagus buat sad,negative,3,
aplikasi yg bagus,3,0,aplikasi yang bagus,negative,3,
Gk jelas suka mati sendiri mohon diperbarui lgi,1,0,gk jelas suka mati sendiri mohon diperbarui lgi,positive,8,
enak dan seru untuk mendengarkan lagu aku suka bgt,5,0,enak dan seru untuk mendengarkan lagu aku suka banget,negative,9,
seru dll,5,0,seru dll,negative,2,
bagussss berguna,5,0,bagussss berguna,negative,2,
mantap komplit,5,0,mantap komplit,negative,2,
lagu² nyaa sangat enak,5,0,lagu nyaa sangat enak,negative,4,
musiknya seru bangat aku suka,5,0,musiknya seru bangat aku suka,negative,5,
"bagusss, masak katanya bayar",5,0,bagusss masak katanya bayar,negative,4,
aplikasi ini bagus sekali tolong perkembang kan lagi🙏😅,5,0,aplikasi ini bagus sekali tolong perkembang kan lagi,negative,8,
bagus² lagu nya,5,0,bagus lagu nya,negative,3,
"No Debat , The Best Siii Kata Gwel Mah",5,0,no debat the best siii kata gwel mah,negative,8,
denger nya itu enak banget loh hebat,5,0,denger nya itu enak banget loh hebat,negative,7,
nagih,4,0,nagih,positive,1,
mantep pol,5,0,mantep pol,negative,2,
skr jauh lebih ok.. aplikasinya,5,0,skr jauh lebih ok aplikasinya,negative,5,
"aplikasinya bagus dan tidak boros voucher, dan masih hidup musiknya walaupun hpnya mati",5,1,aplikasinya bagus dan tidak boros voucher dan masih hidup musiknya walaupun hpnya mati,negative,13,
perfecto,5,0,perfecto,negative,1,
ya menurut gua aplikasi bagus cuma harus bayar 🗿😹,5,0,ya menurut gua aplikasi bagus cuma harus bayar,negative,8,
spotify enak d dengar dan aplikasi mudah,5,0,spotify enak d dengar dan aplikasi mudah,negative,7,
sukaaa banget,5,0,sukaaa banget,negative,2,
kurangin iklannya aja sih kata gue teh,4,0,kurangin iklannya saja sih kata gue teh,positive,7,
"wah aplikasi nya bagus banget,enak banget buat dengerin musik sambil bersih bersih,aku suka banget kalau tentang musik",5,2,wah aplikasi nya bagus bangetenak banget buat dengerin musik sambil bersih bersihaku suka banget kalau tentang musik,negative,17,
bagus lagu,4,0,bagus lagu,negative,2,
aplikasi bagus lengkap lagunya cuma kalo mau yang fiturnya banyak ya harus premium,5,0,aplikasi bagus lengkap lagunya cuma kalo mau yang fiturnya banyak ya harus premium,negative,13,
aplikasi ini sangat komplit bisa membantu saya mencari lagu kenangan hidup saya terima kasih sukses untk Sportify,5,0,aplikasi ini sangat komplit bisa membantu saya mencari lagu kenangan hidup saya terima kasih sukses untk sportify,negative,17,
masa mau ngeskip lagu aja harus premium gmn sih Spotify klo ke gini saya pindah aja ke SoundCloud,2,4,masa mau ngeskip lagu saja harus premium gmn sih spotify klo ke gini saya pindah saja ke soundcloud,positive,18,
"thank you banget yang buat apk ini, gw bisa dengerin lagu about you sambil muncak 👍",5,0,thank you banget yang buat apk ini gw bisa dengerin lagu about you sambil muncak,negative,15,
sumpah ini aplikasi keren banget...,5,0,sumpah ini aplikasi keren banget,negative,5,
mantap benar,5,0,mantap benar,negative,2,
suka pake bangets,5,0,suka pake bangets,negative,3,
oke mantap,5,0,oke mantap,negative,2,
bagus album campur sari klasik👍👍 baru munculkan. 👍,5,0,bagus album campur sari klasik baru munculkan,negative,7,
setiap mauu tidurr pastii setel lagu di sportify soalnya lagunya enakk bgtt,5,0,setiap mauu tidurr pastii setel lagu di sportify soalnya lagunya enakk bgtt,negative,12,
kereen Joss gass,5,0,kereen joss gass,negative,3,
cepet bgt maacihh,5,0,cepet banget maacihh,positive,3,
"mantaap pool,..musiknya ,gampang gk pake ribett, pake aplikasinya👍👍👍",5,0,mantaap poolmusiknya gampang gk pake ribett pake aplikasinya,negative,8,
bagus dan seru dan bagus👌👌👌👌👌👌👌,5,0,bagus dan seru dan bagus,negative,5,
jelek mau muter musik aja harus premium dulu kikir amat jadi aplikasi musik padahal banyak yang suka kikir lu development,1,0,jelek mau muter musik saja harus premium dulu kikir amat jadi aplikasi musik padahal banyak yang suka kikir lu development,positive,20,
aku sangat suka banget dengan aplikasi ini,5,0,aku sangat suka banget dengan aplikasi ini,negative,7,
milih lagu aja ga dibolehin,1,0,milih lagu saja tidak dibolehin,positive,5,
BAGUSS DAN SEMUA LAGU ADA,5,0,baguss dan semua lagu ada,negative,5,
pake spotify seru sihh banyak album sama potcast yang bisa didengar juga,5,0,pake spotify seru sihh banyak album sama potcast yang bisa didengar juga,negative,12,
nurlan bisnis suka samaA,5,0,nurlan bisnis suka samaa,negative,4,
bagus bisa di matiin hp ny,5,0,bagus bisa di matiin hp ny,negative,6,
pas udah lama harus jelajahi premium😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡,1,0,pas udah lama harus jelajahi premium,positive,6,
bug iklan hitam doang ngga jalan iklannya jd g bs dipake,1,1,bug iklan hitam doang ngga jalan iklannya jd g bs dipake,positive,11,
"Aplikasi berguna, banyak iklan!!!!!!!!!",5,0,aplikasi berguna banyak iklan,negative,4,
asik bgt seru lagu nya lengkap cuman gak bisa dicari lagu pake lirik,4,1,asik banget seru lagu nya lengkap cuman tidak bisa dicari lagu pake lirik,negative,13,
oke dari dulu sampai sekarang SpotiFy,4,0,oke dari dulu sampai sekarang spotify,negative,6,
muantap buat dengerin lagu Hindia hehe trs gratis lgi hhe kan aku kaum mendang mending,5,0,muantap buat dengerin lagu hindia hehe terus gratis lgi hhe kan aku kaum mendang mending,negative,15,
"musik nya adem dan seru di dengar di saat galau atau lagi maen game, apa lagi sedang bemotor aduh serunya",1,0,musik nya adem dan seru di dengar di saat galau atau lagi maen game apa lagi sedang bemotor aduh serunya,negative,20,
"saya user mod. lu buat protek kira"" laah, anjir gua susah nyari mod nya",1,0,saya user mod lu buat protek kira laah anjir gua susah nyari mod nya,positive,14,
sangat enak di dengar mau gimana pun ini enak banget lengkap semua,5,0,sangat enak di dengar mau gimana pun ini enak banget lengkap semua,negative,12,
disuruh beli premium padahal saya gak mau tapi dipaksa,1,1,disuruh beli premium padahal saya tidak mau tapi dipaksa,positive,9,
sangat bagus apknya,5,0,sangat bagus apknya,negative,3,
lumayan bagus,3,0,lumayan bagus,negative,2,
kalo bisa sluruh lagu ada jgn smpe ada yg gk lengkap,4,0,kalo bisa sluruh lagu ada jgn smpe ada yang gk lengkap,negative,11,
suaranya bagusssssss,5,0,suaranya bagusssssss,negative,2,
tiba2 g bisa bayar premium pake Gopay. ada apa ini? padahal udah dapat kode spotifynya,3,0,tiba g bisa bayar premium pake gopay ada apa ini padahal udah dapat kode spotifynya,negative,15,
bagus aja😁😁,5,0,bagus saja,negative,2,
sanggar bagus lagu nya juga lengkap 100 💯 lah dari saya 😊,4,0,sanggar bagus lagu nya juga lengkap lah dari saya,negative,9,
bisa buat rilex saat pikiran jenu,5,0,bisa buat rilex saat pikiran jenu,negative,6,
bagus bangen,4,0,bagus bangen,negative,2,
kalo mau dengerin musik dari spotify harus bayar,1,0,kalo mau dengerin musik dari spotify harus bayar,negative,8,
menikmati dengan santai mantap,4,0,menikmati dengan santai mantap,negative,4,
"pengen banget semua pengguna beli premium,sekalian aja jadi apk berbayar",4,0,pengen banget semua pengguna beli premiumsekalian saja jadi apk berbayar,positive,10,
maksa beli premium mulu,2,0,maksa beli premium mulu,positive,4,
aplikasinya baguss bangettt jadiii makinnn sukaaa dehhhh🥰💋,5,0,aplikasinya baguss bangettt jadiii makinnn sukaaa dehhhh,negative,7,
kurangi iklan nyaa the best nii apk,5,0,kurangi iklan nyaa the best nii apk,negative,7,
aplikasi ini memang bagus ada musiknya terus ada album-album nya terima kasih ini juga spotify,5,2,aplikasi ini memang bagus ada musiknya terus ada albumalbum nya terima kasih ini juga spotify,negative,15,
hey Spotify bisa kah kau menghilang kan blokir nya 🥺,5,0,hey spotify bisa kah kau menghilang kan blokir nya,negative,9,
"apknya bagus dan semua musik ada serta gratis namun tetap harus nonton iklan tapi walau begitu,apk ini sangat membantu saat orang sedang kesepian dan sedih",5,0,apknya bagus dan semua musik ada serta gratis namun tetap harus nonton iklan tapi walau begituapk ini sangat membantu saat orang sedang kesepian dan sedih,negative,25,
"bagus banget apa lagi pas lagi main game,kalo main game gak pakek musik rasa nya tuh ke ada yang kurang kalo tanpa musik tapi yang minus nya sih iklan nya ya udh itu aja sih menurut ku 😌🙏",5,0,bagus banget apa lagi pas lagi main gamekalo main game tidak pakek musik rasa nya tuh ke ada yang kurang kalo tanpa musik tapi yang minus nya sih iklan nya ya sudah itu saja sih menurut ku,positive,37,
lagu enak enak gw mau beli,5,0,lagu enak enak gw mau beli,positive,6,
kualitas nya bagus dan layanan nya bagus juga aku kasih bintang 5 ya,5,0,kualitas nya bagus dan layanan nya bagus juga aku kasih bintang ya,negative,12,
josss gandoooissss,5,0,josss gandoooissss,negative,2,
baguss banget makasih,5,0,baguss banget makasih,negative,3,
tidak bisa memutar lagu karena dipaksa untuk premium,1,1,tidak bisa memutar lagu karena dipaksa untuk premium,positive,8,
